level,temperature,tds,ph,turbidity,freshness_window_hours,risk_score
40.61,24.94,328.04,7.66,0.55,22.7,0.53
14.17,37.36,504.73,5.6,5.88,3.8,0.92
55.35,27.09,237.78,7.08,2.11,23.5,0.51
20.86,34.24,502.6,5.54,5.79,5.5,0.89
20.47,34.89,601.24,6.14,4.58,8.1,0.83
70.37,27.28,442.28,7.77,1.81,21.6,0.55
69.94,20.56,402.22,6.95,1.34,23.9,0.5
74.38,29.35,437.56,6.92,1.3,23.1,0.52
71.62,27.76,365.33,7.36,2.35,22.2,0.54
72.62,28.01,316.76,7.36,0.62,23.3,0.51
35.58,32.7,535.7,6.48,3.37,14.8,0.69
11.8,37.76,653.04,5.8,4.14,6.2,0.87
35,33.32,498.14,6.64,4.39,12.5,0.74
28.58,33.61,415.45,6.21,3.75,15.1,0.69
81.12,25.19,221.13,6.83,1.22,23.7,0.51
16.65,39.74,589.12,6.07,5.5,3,0.94
23.75,32.29,549.23,6.7,2.9,16.6,0.65
54.55,21.04,400.36,7.5,1.44,23,0.52
20.28,32.23,435.79,6.29,4.4,13.5,0.72
79.71,27.52,444.91,7.09,2.47,21.5,0.55
83.91,26.04,178.25,6.87,1.88,23.7,0.51
35.14,30.43,491.83,6.66,3.59,16.5,0.66
38.2,31.84,450.91,6.58,3.73,16,0.67
38.52,31.55,530.34,6.47,2.89,16.9,0.65
68.85,26.97,315.09,7.67,1.04,22.7,0.53
56.64,21.34,382.31,7.52,0.97,23,0.52
44.28,27.35,239.58,7.47,1.15,23.1,0.52
73.62,22.8,205.79,7.73,1.81,22.5,0.53
61.87,22.24,267.76,7.65,1.21,22.7,0.53
74.13,23.85,215.75,7.52,1.73,23,0.52
32.83,31.49,459.03,6.39,3.22,17.2,0.64
10.44,36.48,600.06,5.79,6.04,2.2,0.95
54.63,23.61,315.71,6.94,0.98,23.9,0.5
10.82,34.83,671.81,5.98,6.46,2,0.96
22.2,34.9,682.37,6.16,7.73,2,0.96
20.05,29.5,503.65,6.21,4.25,13.6,0.72
25.36,33.49,430.99,6.53,3.02,17.6,0.63
14.28,37.12,500.71,5.61,7.38,2,0.96
28.24,30.78,448.94,6.45,3.44,17.2,0.64
68.29,25.76,436.04,7.34,1,22.6,0.53
10.04,36.78,651.68,6.04,7.63,2,0.96
52.68,27.1,212.29,6.88,1.68,23.8,0.5
74.61,21.28,284.75,7.25,1.42,23.5,0.51
15.72,36.81,683.22,5.76,5.31,2.5,0.95
24.26,31.31,437.1,6.59,3.53,17.2,0.64
55.57,29.72,241.17,7.32,2.16,22.9,0.52
76.91,21.49,327.51,7.57,1.26,22.9,0.52
23.2,34.72,531.26,6.58,3.83,12.7,0.74
33.87,28.54,509.36,6.46,3.55,16.1,0.66
39.62,33.98,436.33,6.68,3.11,17.3,0.64
20.85,38.29,614.21,5.86,4.9,4.6,0.9
61.14,23.81,164.23,7.03,2.47,22.5,0.53
52.43,23.21,328.97,7.16,1.59,23.7,0.51
45.19,21.84,326.25,6.98,0.62,24,0.5
19.02,33.29,595.5,5.76,5.29,6.1,0.87
29.25,33.54,447.73,6.53,2.96,17.5,0.64
40.64,22.73,405.04,7.77,1.01,22.4,0.53
29.41,32.67,485.94,6.53,3.94,14.2,0.7
61.98,27.2,286.27,7.46,1.41,23.1,0.52
58.7,21.01,320.78,7.36,1.39,23.3,0.51
62.6,27.99,415.17,7.11,1.01,23.5,0.51
49.58,25.61,346.27,7.25,0.8,23.5,0.51
59.47,29.48,236.8,6.86,0.6,23.7,0.51
15.63,37.4,674.27,6,4.02,6.8,0.86
44.4,21.84,414.3,7.41,0.79,22.9,0.52
69.04,26.28,322.61,7.1,1.24,23.8,0.5
20.24,39.51,665.95,5.67,4.03,5.2,0.89
52.03,28.59,241.89,7.63,1.33,22.7,0.53
24.38,34.9,657.96,6.09,7.36,2,0.96
68.59,29.99,399.61,6.83,2.48,22.2,0.54
65.21,25.88,293.57,7.76,2.04,22.4,0.53
71.93,25.08,212.2,7.32,1.68,23.4,0.51
65.93,25.79,300.36,6.96,1.79,23.9,0.5
45.97,26.52,380.2,6.93,0.93,23.9,0.5
67.9,24.33,227.61,6.88,2.5,22.3,0.54
79.56,23.04,151.26,7.46,1.43,23.1,0.52
76.3,25.7,281.03,6.84,0.63,23.7,0.51
48.81,20.78,230.34,7.75,0.58,22.5,0.53
53.36,21.33,395.64,7.27,2.22,22.8,0.52
66.87,22.81,203.28,7.41,1.58,23.2,0.52
77.07,21.37,242.2,7.59,0.88,22.8,0.52
68.3,23.14,279.3,6.98,1.59,24,0.5
57.51,23.27,358.66,7.53,2.17,22.4,0.53
20.15,37.52,673.09,6.13,6.76,2,0.96
83.66,22.91,280.65,7.45,2.18,22.6,0.53
54,24.71,362.52,7.6,1.87,22.8,0.52
16.79,36.35,651.58,6.05,5.09,4.6,0.9
38.73,29.27,404.84,6.72,4.47,15.9,0.67
44.87,26.03,268.79,7.2,1.06,23.6,0.51
47.61,20.94,187.26,7.27,1.69,23.5,0.51
20.7,37.15,615.59,5.79,4.72,5.5,0.89
26.8,33.33,529.53,6.52,3.06,15.6,0.68
20.77,29.7,436.4,6.24,3.48,17.3,0.64
36.35,28.79,436.97,6.79,2.88,20.2,0.58
77.78,26.55,153.42,7.13,1.66,23.7,0.51
75.06,22.55,164.42,7.44,1.22,23.1,0.52
24.92,38.89,572.56,5.75,6.07,2,0.96
70.46,29.96,152.06,7.55,1.11,22.9,0.52
45.02,20.05,391.97,7.6,1.45,22.8,0.52
73.05,20.93,285.76,7.13,0.63,23.7,0.51
35.82,30.21,400.28,6.64,3.73,18,0.63
83.85,20.89,210.37,7.21,1.98,23.6,0.51
17.37,36.68,692.8,5.83,4.11,6.1,0.87
58.19,21.57,326.71,7.78,1.92,22.4,0.53
28.07,28.87,406.81,6.38,3.16,19.1,0.6
14.33,36.78,679.25,5.78,7.21,2,0.96
28.71,31.5,457.82,6.77,4.29,14.8,0.69
65.29,24.77,434.13,7.13,2.21,22.4,0.53
40.66,26.92,409.03,7.46,1.49,22.9,0.52
16.08,35.26,614.98,5.83,4.56,7.1,0.85
19.5,38.09,573.55,5.74,5.04,4.8,0.9
71.84,26.15,307.78,7.54,1.74,22.9,0.52
53.05,20.31,415.52,7.51,2.22,22,0.54
29.63,33.53,480.15,6.38,3.18,15.9,0.67
42.8,25.67,422.39,6.96,1.33,23.5,0.51
11.61,39.56,633.21,5.86,6.53,2,0.96
24.25,39.78,551.06,5.61,4.34,6.3,0.87
35.75,34.04,518.34,6.68,2.66,17,0.65
58.95,26.08,274.06,7.53,1.71,22.9,0.52
47.85,25.65,196.65,7.46,2.47,21.7,0.55
35.84,33.63,417.89,6.54,2.78,18.6,0.61
53.35,21.49,325.85,7.73,1.65,22.5,0.53
47.65,28.13,420.1,7.7,1.42,22.2,0.54
20.58,35.37,697.19,6.08,5.52,3,0.94
12.6,37.56,539.01,5.86,7.65,2,0.96
35.07,30.55,529.52,6.69,3,17.5,0.64
46.35,24.07,376.79,7.26,2.18,22.9,0.52
74.88,26.46,277.84,6.85,1.33,23.7,0.51
81.74,28.6,341.59,7.1,1.71,23.8,0.5
16.93,36.55,553.48,5.56,6.37,2,0.96
34.52,34.06,518.83,6.28,3.98,12.2,0.75
81.17,23.65,416.09,7.61,0.84,22.5,0.53
38.91,31.14,418.29,6.6,4.23,15.6,0.68
53.27,22.75,231.85,7.72,2.2,22,0.54
20.94,28.88,525.88,6.5,4.39,13.3,0.72
62.14,22.31,359.17,7.53,0.67,22.9,0.52
81.05,20.36,171.32,7.75,1.73,22.5,0.53
17.56,37.44,612.47,5.81,7.46,2,0.96
75.23,29.14,283.45,7.05,1.48,23.9,0.5
63.72,21.99,389.71,7.73,1.25,22.5,0.53
70.96,22.55,411.57,7.44,1.45,22.9,0.52
69.71,24.21,441.34,6.83,0.52,22.8,0.52
14.26,34.45,623.92,5.55,5.22,4.7,0.9
21.09,34.1,470.26,6.55,3.51,15.1,0.69
68.5,29.57,190.83,7.4,2.4,22,0.54
83.93,23.2,180.67,7.02,1.17,24,0.5
22.27,36.58,549.02,5.59,4.83,6.4,0.87
10.04,35.04,631.05,5.64,7.13,2,0.96
26.78,32.41,445.51,6.22,4.12,14,0.71
22.06,39.81,600.95,5.83,7.6,2,0.96
68.99,28.74,347.5,7.12,0.67,23.8,0.5
64,20.85,218.39,7.18,2.2,23,0.52
65.67,27.64,239.16,7.55,1.61,22.9,0.52
53.88,27.83,154.86,7.18,0.82,23.6,0.51
78.14,28.13,288.94,7.13,1.18,23.7,0.51
76.98,21.59,322.31,7.43,1.88,23.1,0.52
48.9,21.62,363.02,7.33,1.81,23.3,0.51
66.36,27.77,355.42,7.79,2.37,21.3,0.56
12.14,37.66,686.7,5.9,5,3.2,0.93
18.05,33.93,555.67,5.77,4.94,7.6,0.84
57.72,21.79,274.7,7.41,1.05,23.2,0.52
46.55,21,400.99,6.83,1.62,23.6,0.51
40.12,27.82,249.85,7.77,2.21,21.8,0.55
77.64,28.09,410.27,7.1,1.09,23.6,0.51
51.12,23.03,204.16,6.87,0.8,23.7,0.51
82.6,22.93,203.29,7.09,1.97,23.8,0.5
14.56,36.33,593.37,5.75,5.29,4.6,0.9
33.77,29.02,529.02,6.28,4.16,13.5,0.72
57.96,20.53,425.9,7.23,2.42,21.8,0.55
76.47,29.62,203.18,7.58,1,22.8,0.52
57.76,28.15,319.93,6.93,2.2,23.3,0.51
71.41,28.83,379.65,7.74,1.23,22.5,0.53
16.11,35.56,641.2,5.54,4.02,7.4,0.85
35.25,32.86,456.75,6.69,4,14.8,0.69
83.92,23.04,215.1,7.29,1.28,23.4,0.51
32.89,32.73,424.15,6.31,3.92,15,0.69
42.28,23.41,375.02,7.17,2.03,23.6,0.51
74.72,29.94,306.29,7.49,1.49,23,0.52
65.19,25.49,394.12,6.9,1.36,23.8,0.5
45.25,25.48,222.34,7.19,1.35,23.6,0.51
17.82,37.9,546.22,6.09,7.2,2,0.96
21.38,36.33,533.79,5.86,5,6.9,0.86
52.85,25.07,340.46,7,1.63,24,0.5
59.97,22.38,439,6.97,1.56,23.2,0.52
81.68,28.45,355.92,7.07,1.25,23.9,0.5
15.66,37.38,699.94,6.17,4.69,4.6,0.9
78.43,23.4,268.65,7.73,1.36,22.5,0.53
32.81,30.98,495.02,6.29,3.33,16.2,0.66
52.74,29.02,318.62,7.21,1.14,23.6,0.51
13.8,35.1,582.97,5.6,4.81,6.6,0.86
78.63,24.64,333.94,7.23,1.37,23.5,0.51
24.29,33.31,531.3,6.31,3.14,14.9,0.69
58.52,29.83,312.42,7.59,0.95,22.8,0.52
67.07,25.29,162.85,7.15,1.52,23.7,0.51
80.74,21.09,276.19,7.55,1.93,22.9,0.52
84.16,24.54,203.88,7.35,1.24,23.3,0.51
49.9,28.77,290.55,6.84,0.92,23.7,0.51
14.36,34.02,639.95,6.11,5.52,4.9,0.9
30.41,33.09,427.45,6.66,4.45,13.9,0.71
43.5,22.07,315.47,7.62,1.92,22.8,0.52
45.22,20.89,230.22,7.58,1.5,22.8,0.52
24.08,38.73,592.3,5.76,6.25,2,0.96
78.83,29.32,228.03,7.36,1.77,23.3,0.51
39.95,31.63,454.75,6.62,3.6,16.5,0.66
57.96,20.23,425.17,6.97,1.04,23.4,0.51
80.74,29.63,353.21,7.31,0.54,23.4,0.51
10.83,39.6,664.8,5.68,7.59,2,0.96
32.87,30.92,458.26,6.71,2.92,19,0.6
40.64,29.02,445.7,7.12,2.31,21.9,0.54
22.07,34.86,487.98,6.62,4.1,12.8,0.73
20.43,33.25,410.07,6.45,3.31,17.1,0.64
14.8,34.37,554.04,5.86,6.33,3.5,0.93
71.47,22.66,237.78,7.8,1.68,22.4,0.53
15.41,34.84,538.51,6.02,5.63,6,0.88
48.84,20.86,370.41,7.59,1.44,22.8,0.52
37.26,28.72,428.47,6.32,4.29,15.2,0.68
68.4,23.29,328.83,7.03,2.32,23,0.52
45.48,20.93,190.65,7.63,1.94,22.7,0.53
39.21,31.19,478.28,6.49,3.83,15.3,0.68
14.98,39.93,510.81,6.15,5.7,4,0.92
23.25,39.39,540.84,5.97,7.75,2,0.96
65.33,27.96,407.15,6.83,2.26,22.7,0.53
45.44,23.53,165.41,6.99,2.07,23.8,0.5
64.17,26.03,151.41,7.36,1.94,23.3,0.51
39.33,29.23,461.12,6.57,4.37,14.8,0.69
13.8,37.48,639.58,5.93,6,2,0.96
15.35,33.54,517.51,5.58,5.42,6.8,0.86
20.09,35.89,614.81,5.96,4.55,7,0.85
24.78,30.45,463.35,6.58,2.87,19.1,0.6
33.17,28.61,478.72,6.3,2.79,18.7,0.61
26.93,32.7,506.07,6.48,3.56,14.8,0.69
50.21,25.77,176.59,7.57,2.19,22.3,0.54
80.96,22.58,398.98,6.83,0.93,23.7,0.51
32.5,29.99,458.08,6.34,3.59,16.7,0.65
21,39.62,522.83,5.52,6.64,2,0.96
78.53,23.12,253.64,7.01,0.97,24,0.5
61.62,25.63,266.27,6.89,1.77,23.8,0.5
15.94,39.82,620.67,5.7,6.03,2,0.96
71.71,23.96,431.56,7.5,1.32,22.4,0.53
20.39,29.93,415.11,6.5,3.67,17.7,0.63
56.51,29.69,438.05,6.89,1.22,23,0.52
74,26.86,243.03,6.99,1.96,24,0.5
35,33.93,406.69,6.62,3.7,16,0.67
45.05,24.71,167.55,6.83,1.88,23.7,0.51
58.05,22.26,283.59,6.93,1.31,23.9,0.5
83.9,24.6,441.71,7.13,2.23,22.2,0.54
18.02,34.88,595.17,5.62,7.58,2,0.96
40.11,28.44,208.74,7.51,1.99,23,0.52
62.16,26.8,313.97,6.9,0.71,23.8,0.5
30.3,29.5,429.68,6.49,3.74,17.2,0.64
27.56,32.78,467.76,6.38,2.99,17,0.65
71.72,20.78,367.94,7.63,0.71,22.7,0.53
65.16,20.4,185,6.91,0.74,23.8,0.5
69.74,27.56,245.73,7.78,1.15,22.4,0.53
13.73,35.12,627.49,5.71,6.11,2,0.96
13.78,34.68,508.8,5.99,5.43,7.2,0.85
45.29,27.36,332.14,7.42,2.16,22.7,0.53
75.45,25.23,321.64,7.26,0.74,23.5,0.51
77.23,29.78,220.86,7.43,0.91,23.1,0.52
52.03,29.22,253.52,6.95,1.27,23.9,0.5
66.29,22.94,294.18,6.85,0.96,23.7,0.51
16.68,33.15,561.17,5.64,4.9,7.8,0.84
48.09,20.19,360.18,6.84,1.73,23.7,0.51
21.87,39.25,610.3,5.57,6.15,2,0.96
30.22,33.78,475.98,6.24,4.3,12.2,0.75
70.84,28.72,404.98,6.94,0.6,23.8,0.5
26.74,32.58,407.62,6.51,2.52,20,0.58
43.75,22.53,346.74,7.38,2.41,22,0.54
25.69,30.57,500.59,6.52,4.23,14.1,0.71
48.04,26.36,299.49,7.31,1.71,23.4,0.51
19.45,36.27,615.55,5.68,4.21,7.3,0.85
14.45,34.7,632.02,6.14,6.44,2,0.96
18.75,38.53,646.3,6.2,7.5,2,0.96
80.78,27.75,242.82,6.81,2.33,22.6,0.53
59.49,24.65,298.46,7.79,1.42,22.4,0.53
71.78,25.72,425.6,7.44,1.3,22.6,0.53
20.33,35.2,612.38,5.77,7.14,2,0.96
10.58,37.68,603.09,5.53,5.51,2.6,0.95
52.39,24.85,289.77,7,1.47,24,0.5
84.06,25.34,178.53,7.38,2.14,22.8,0.52
23.82,33.01,505.15,5.51,6.8,3,0.94
78.59,22.05,348.33,7.06,2.32,22.9,0.52
20.59,32.37,416.22,6.6,3.18,18.2,0.62
37.37,31.47,543.29,6.41,3.15,15.8,0.67
68.63,21.43,439.72,7.58,1.65,22,0.54
26.32,30.14,519.76,6.46,3.78,15.1,0.69
12.1,39.63,681.72,6,6.1,2,0.96
45.07,25.79,234.01,7.28,0.53,23.4,0.51
40.55,20.24,290.67,7.59,0.78,22.8,0.52
80.14,23.2,332.53,7.7,0.91,22.6,0.53
79.69,29.31,354.21,7.11,1.99,23.8,0.5
43.75,22.4,229.4,7.26,1.97,23.5,0.51
51.12,20.95,370.69,7.61,2.49,21.3,0.56
71.92,27.84,281.93,6.81,2.5,22.1,0.54
45.25,21.26,367.45,7.59,0.87,22.8,0.52
60.63,26.32,445.29,7.75,1.84,21.6,0.55
66.58,24.9,191.97,7.07,2.23,23.2,0.52
11.57,36.24,549.91,5.93,7.58,2,0.96
48.07,26.9,172.75,7.28,0.6,23.4,0.51
20.59,31.51,445.79,6.75,3.8,16.4,0.66
38.34,28.44,514.26,6.34,3.83,14.9,0.69
66.94,20.79,213.15,7.56,1.57,22.9,0.52
72.39,26.14,406.16,7.4,0.7,23.1,0.52
17.02,39.22,647.1,5.8,5.79,2,0.96
21.42,28.05,477.12,6.75,2.52,20.4,0.57
12.84,39.21,657.45,6.01,4.42,5,0.9
64.32,23.86,200.61,6.97,1.78,23.9,0.5
78.91,23.76,169.28,7.19,2.5,22.1,0.54
20.58,34.52,607.04,6.18,7.07,2,0.96
78.66,28.07,344.21,7.07,1.9,23.9,0.5
52.27,29.82,250.09,7.55,1.31,22.9,0.52
51.01,25.3,350.86,6.9,0.86,23.8,0.5
70.48,22.24,201.46,7.24,2.44,22.2,0.54
28.33,32.78,489.38,6.38,2.51,18.1,0.62
32.82,31.23,464.01,6.49,2.62,19.2,0.6
40.19,23.72,432.38,6.93,2.09,22.9,0.52
64.78,28.07,176.82,7.08,1.2,23.8,0.5
62.01,23.52,243.45,6.85,0.73,23.7,0.51
42.03,25.15,264.93,6.94,2.46,22.5,0.53
65.12,28.84,262.62,7.4,1.98,23.2,0.52
85,20.3,229.48,7.17,2.46,22.3,0.54
83.64,23.02,211.06,7.29,1.71,23.4,0.51
12.44,35.77,663.44,5.69,7.6,2,0.96
70.19,20.24,356.45,7.05,1.6,23.9,0.5
51.97,25.8,330.6,7.57,1.55,22.9,0.52
24.25,29.4,529.2,6.43,3.39,16.1,0.66
16.23,38.49,555.21,5.72,5.73,2.9,0.94
45.04,27.4,443.57,7.61,1.12,21.9,0.54
61.83,29.09,151.12,7.78,2.25,21.7,0.55
48.95,20.51,275.73,7.8,1.84,22.4,0.53
72.83,25.11,289.15,6.89,1.19,23.8,0.5
84.02,20.63,396.94,7.54,1.09,22.9,0.52
22.85,33.67,532.86,5.82,5.36,7.1,0.85
84.37,22.15,172.96,7.54,1.37,22.9,0.52
49.15,21.08,258.9,7.41,2.11,22.9,0.52
47.12,24.65,419.02,7.02,1.77,23.6,0.51
66.61,20.74,443.46,6.82,1.29,22.8,0.52
14.59,35.67,598.67,5.95,4.08,8.9,0.81
52.97,22.91,322.8,6.86,1.63,23.7,0.51
22.47,34.02,500.54,6.1,4.37,11.1,0.77
51.44,29.17,408.56,7.23,0.92,23.4,0.51
67.72,21.48,366.41,7.42,2.08,22.9,0.52
32.33,34.9,536.12,6.51,4.37,10.7,0.78
45.81,24.47,335.23,7.28,2.25,22.7,0.53
84.13,22.45,182.88,7.33,2.38,22.2,0.54
23.26,33.61,433.23,6.8,4.14,14.7,0.69
58.85,21.03,386.39,7.34,2.36,22.2,0.54
17.84,36.97,695.51,5.87,5.44,2,0.96
71.75,28.8,447.9,7.06,1.63,22.9,0.52
57.13,25.84,336.48,7.61,2.48,21.3,0.56
75.05,21.8,299.59,7.22,1.72,23.6,0.51
23.76,31.66,484.86,6.28,3.02,17,0.65
72.69,20.08,216.94,7.73,1.4,22.5,0.53
42.37,26.17,245.92,6.94,0.84,23.9,0.5
46.18,22.2,175.42,7.66,1.78,22.7,0.53
40.27,29.53,301.07,7.31,1.85,23.4,0.51
33.61,29.38,418.35,6.68,3.26,19.2,0.6
62.09,22.69,281.31,7.5,1.71,23,0.52
77.93,23.31,264.43,6.98,2.36,22.9,0.52
83.13,21.65,347.81,7.78,1.27,22.4,0.53
50.96,25.87,333.02,7.59,1.84,22.8,0.52
80.06,29.75,229,7.1,1.03,23.8,0.5
48.46,20.74,321.4,7.29,1.21,23.4,0.51
10.56,36.21,541.88,6.15,7.62,2,0.96
14.58,35.62,520.74,5.69,5.18,6.6,0.86
33.1,31.67,412.44,6.29,4.04,15.4,0.68
78.57,20.73,384.45,7.67,1.68,22.7,0.53
18.87,33.87,504.79,5.76,4.56,9.8,0.8
10.86,33.69,678.1,5.51,4.85,5.1,0.89
77.87,23.25,385.19,7.07,1.82,23.9,0.5
71.32,29.39,280.86,7.41,1.28,23.2,0.52
55.76,29.98,352.3,7.22,1.37,23.6,0.51
55.49,29.67,346.36,7.6,2.28,22,0.54
79.3,22.62,323.08,7.73,1.84,22.5,0.53
55.75,21.18,349.87,7.75,2.39,21.3,0.56
63.47,29.44,428.17,7.75,0.71,21.9,0.54
66.24,25.88,201.19,7.7,1.19,22.6,0.53
71.75,24.85,433.97,6.87,1.48,23.1,0.52
20.39,33.14,635.06,6.08,5.65,4.9,0.9
75.25,29.17,192.28,7.3,1.85,23.4,0.51
70.7,21.6,421.27,6.98,0.71,23.5,0.51
50.85,23.68,347.01,7.58,0.68,22.8,0.52
20.58,35.4,613.87,5.84,7.47,2,0.96
57.49,22.72,435.46,6.91,1.21,23.1,0.52
60.98,28.2,238.78,7.6,0.68,22.8,0.52
25.6,29.14,470.32,6.79,4.14,15.8,0.67
43.07,29,232.3,7.5,1.69,23,0.52
38.45,32.15,405.59,6.66,4.43,14.8,0.69
17.17,34.87,606.09,5.86,4.46,7.8,0.84
10.32,34.89,546.02,6.11,5.81,5.4,0.89
34.17,32.5,477.63,6.55,3,17.3,0.64
61.69,28.64,306.32,7.13,1.04,23.7,0.51
82.85,22.5,377.79,7.29,2.16,22.9,0.52
36.28,31.54,431.84,6.63,3.74,16.6,0.65
49.74,25.43,211.82,7.63,1.78,22.7,0.53
18.61,37.78,580.21,5.79,6.92,2,0.96
30.79,29.87,442.84,6.65,3.45,18.1,0.62
58,21.53,205.94,7.17,0.97,23.7,0.51
57.67,24.3,173.8,7.26,1.63,23.5,0.51
79.29,27.52,324.69,7.04,1.77,23.9,0.5
59.68,25.55,160.12,7.45,0.58,23.1,0.52
41.01,25.22,378.9,7.44,2,23.1,0.52
78.17,28.83,360.49,7.11,0.6,23.8,0.5
44.18,29.57,247.21,7.15,1.63,23.7,0.51
60.15,29.27,367.16,7.35,1.11,23.3,0.51
20.26,38.63,611.11,5.71,6.54,2,0.96
24.33,39.1,532,5.89,4.08,8.4,0.83
50.01,29.7,190.94,7.02,1.66,24,0.5
14.01,35.94,653.97,6.12,5.96,2.3,0.95
73.13,22.13,288.65,7.57,0.61,22.9,0.52
59.97,28.02,191.4,6.87,0.66,23.7,0.51
30.15,29.49,485.04,6.45,4.37,14.1,0.71
76.04,29.65,160.76,7.06,0.55,23.9,0.5
46.79,25.03,278.62,7.29,2.48,22,0.54
42.81,23.69,252.56,6.83,2.24,22.9,0.52
54.51,20.21,264.1,7.01,2.4,22.8,0.52
78.48,27.92,272.42,7.77,1.45,22.5,0.53
73.32,21.96,387.26,6.93,0.67,23.9,0.5
32.53,31.74,407.4,6.79,3.01,19.5,0.59
22.92,38.11,633.62,5.55,6.66,2,0.96
70.29,23.82,272.76,7.59,2.41,21.6,0.55
12.76,38.49,616.36,5.57,5.22,2.9,0.94
36.7,31.05,538.97,6.73,2.9,17.5,0.64
51.18,22.75,218.4,7.51,1.81,23,0.52
77.34,21.83,386.6,7.54,2.21,22.3,0.54
11.54,39.26,539.65,5.83,7.04,2,0.96
76.33,25.47,284.83,7.28,1.55,23.4,0.51
71,28.79,189.41,7.46,1.72,23.1,0.52
45.27,28,198.75,7.5,2.05,22.9,0.52
58.96,28.83,253.11,7.4,1.97,23.2,0.52
47.44,29,186.38,6.9,1.2,23.8,0.5
32.79,29.41,449.86,6.46,2.97,19,0.6
45.64,26.27,244.8,7.4,1.87,23.2,0.52
30.1,28.7,448.43,6.39,4.39,14.6,0.7
22.45,28.13,449.76,6.52,2.54,20.4,0.57
31.96,33.63,456.38,6.29,3.9,13.9,0.71
68.06,28.8,344.83,7.47,1.55,23.1,0.52
64.43,21.19,216.64,7.8,0.64,22.4,0.53
33.59,30.2,452.76,6.63,3.19,18.5,0.61
58.15,27.94,274.49,7.65,0.61,22.7,0.53
14.53,37.03,534.57,5.94,7.79,2,0.96
80.91,29.07,417.78,7.62,1.22,22.4,0.53
23.51,38.06,512.91,5.87,7.19,2,0.96
46.38,27.06,374.48,7.53,2.36,21.9,0.54
81.33,21.65,345.76,7.3,0.6,23.4,0.51
40.94,20.85,434.36,7.79,1.63,21.7,0.55
54.46,24.62,287.39,7.21,1.01,23.6,0.51
37.59,33.64,508.51,6.39,3.51,14.3,0.7
46.48,29.38,441.74,7.3,0.75,22.6,0.53
57.85,22.25,432.96,7.53,1.06,22.3,0.54
12.29,39.52,619.27,5.76,4.52,4.8,0.9
20.16,35.46,699.7,5.51,7.27,2,0.96
57.44,25.44,366.96,7.23,1.35,23.5,0.51
45.69,21.42,439.01,7.7,0.81,21.8,0.55
24.35,30.35,532.03,6.59,2.52,18.8,0.61
67.62,21.03,270.73,7.42,1.4,23.2,0.52
27.25,30.87,494.61,6.27,3.48,15.8,0.67
16.53,37.36,518.35,5.73,7.29,2,0.96
71.33,26.75,378.37,7.57,1.67,22.9,0.52
